Município	População	Gentílico
Abdon Batista	2.598	Abdonense
Abelardo Luz	17.392	Abelardense
Agrolândia	10.990	Agrolandense
Agronômica	6.055	Agronomicense
Água Doce	6.508	Agua-docense
Águas de Chapecó	6.036	Aguas-chapecoense
Águas Frias	2.839	Aguafriense
Águas Mornas	6.743	Aguasmornense
Alfredo Wagner	10.481	Alfredense
Alto Bela Vista	1.856	Alto-belavistense
Anchieta	5.943	Anchietaense
Angelina	5.358	Angelinense
Anita Garibaldi	8.285	Anitense
Anitápolis	3.593	Anitapolitano
Antônio Carlos	11.224	Antônio-carlense
Apiúna	9.811	Apiunense
Arabutã	4.378	Arabutanense
Araquari	45.283	Araquariense
Araranguá	71.922	Araranguaense
Armazém	8.834	Armazenense
Arroio Trinta	3.556	Arroiotrintense
Arvoredo	2.510	Arvoredense
Ascurra	8.319	Ascurriense
Atalanta	3.227	Atalantense
Aurora	6.780	Aurorano
Balneário Arroio do Silva	15.820	Balneário-arroio-do-silvense
Balneário Barra do Sul	14.912	Balneario-barra-do-sulense
Balneário Camboriú	139.155	Camboriuense
Balneário Gaivota	15.669	Balneario-gaivotense
Balneário Piçarras	27.127	Balneario-picarrasense
Balneário Rincão	15.981	Balneario-rincaoense
Bandeirante	3.144	Bandeirantense
Barra Bonita	1.668	Barra-bonitense
Barra Velha	45.369	Barra-velhense
Bela Vista do Toldo	5.872	Bela-vistense
Belmonte	2.658	Belmontense
Benedito Novo	10.520	Beneditense
Biguaçu	76.773	Biguaçuense
Blumenau	361.261	Blumenauense
Bocaina do Sul	3.515	Bocainense
Bom Jardim da Serra	4.026	Bom-jardinense
Bom Jesus	2.777	Bom-jesuense
Bom Jesus do Oeste	2.187	Bom-jesuense
Bom Retiro	8.418	Bom-retirense
Bombinhas	25.058	Bombinense
Botuverá	5.363	Botuveraense
Braço do Norte	33.773	Braçonortense
Braço do Trombudo	4.026	Bracotrombudense
Brunópolis	2.489	Brunopolense
Brusque	141.385	Brusquense
Caçador	73.720	Cacadorense
Caibi	6.304	Caibense
Calmon	3.443	Calmonense
Camboriú	103.074	Camboriuense
